municipio_codigo;municipio_nombre;sexo;rango_edad_de_la_madre;numero_nacimientos
001; Acebeda (La);Hombre;Menores de 15 años;0
001; Acebeda (La);Hombre;De 15 a 19 años;0
001; Acebeda (La);Hombre;De 20 a 24 años;0
001; Acebeda (La);Hombre;De 25 a 29 años;0
001; Acebeda (La);Hombre;De 30 a 34 años;0
001; Acebeda (La);Hombre;De 35 a 39 años;0
001; Acebeda (La);Hombre;De 40 a 44 años;0
001; Acebeda (La);Hombre;De 45 a 49 años;0
001; Acebeda (La);Hombre;De 50 años y más;0
001; Acebeda (La);Mujer;Menores de 15 años;0
001; Acebeda (La);Mujer;De 15 a 19 años;0
001; Acebeda (La);Mujer;De 20 a 24 años;0
001; Acebeda (La);Mujer;De 25 a 29 años;0
001; Acebeda (La);Mujer;De 30 a 34 años;0
001; Acebeda (La);Mujer;De 35 a 39 años;0
001; Acebeda (La);Mujer;De 40 a 44 años;0
001; Acebeda (La);Mujer;De 45 a 49 años;0
001; Acebeda (La);Mujer;De 50 años y más;0
002; Ajalvir;Hombre;Menores de 15 años;0
002; Ajalvir;Hombre;De 15 a 19 años;0
002; Ajalvir;Hombre;De 20 a 24 años;0
002; Ajalvir;Hombre;De 25 a 29 años;3
002; Ajalvir;Hombre;De 30 a 34 años;8
002; Ajalvir;Hombre;De 35 a 39 años;5
002; Ajalvir;Hombre;De 40 a 44 años;4
002; Ajalvir;Hombre;De 45 a 49 años;0
002; Ajalvir;Hombre;De 50 años y más;0
002; Ajalvir;Mujer;Menores de 15 años;0
002; Ajalvir;Mujer;De 15 a 19 años;0
002; Ajalvir;Mujer;De 20 a 24 años;1
002; Ajalvir;Mujer;De 25 a 29 años;1
002; Ajalvir;Mujer;De 30 a 34 años;9
002; Ajalvir;Mujer;De 35 a 39 años;5
002; Ajalvir;Mujer;De 40 a 44 años;0
002; Ajalvir;Mujer;De 45 a 49 años;0
002; Ajalvir;Mujer;De 50 años y más;0
003; Alameda del Valle;Hombre;Menores de 15 años;0
003; Alameda del Valle;Hombre;De 15 a 19 años;0
003; Alameda del Valle;Hombre;De 20 a 24 años;0
003; Alameda del Valle;Hombre;De 25 a 29 años;0
003; Alameda del Valle;Hombre;De 30 a 34 años;0
003; Alameda del Valle;Hombre;De 35 a 39 años;0
003; Alameda del Valle;Hombre;De 40 a 44 años;0
003; Alameda del Valle;Hombre;De 45 a 49 años;0
003; Alameda del Valle;Hombre;De 50 años y más;0
003; Alameda del Valle;Mujer;Menores de 15 años;0
003; Alameda del Valle;Mujer;De 15 a 19 años;0
003; Alameda del Valle;Mujer;De 20 a 24 años;0
003; Alameda del Valle;Mujer;De 25 a 29 años;0
003; Alameda del Valle;Mujer;De 30 a 34 años;0
003; Alameda del Valle;Mujer;De 35 a 39 años;0
003; Alameda del Valle;Mujer;De 40 a 44 años;0
003; Alameda del Valle;Mujer;De 45 a 49 años;0
003; Alameda del Valle;Mujer;De 50 años y más;0
004; Álamo (El);Hombre;Menores de 15 años;0
004; Álamo (El);Hombre;De 15 a 19 años;2
004; Álamo (El);Hombre;De 20 a 24 años;5
004; Álamo (El);Hombre;De 25 a 29 años;12
004; Álamo (El);Hombre;De 30 a 34 años;14
004; Álamo (El);Hombre;De 35 a 39 años;8
004; Álamo (El);Hombre;De 40 a 44 años;3
004; Álamo (El);Hombre;De 45 a 49 años;0
004; Álamo (El);Hombre;De 50 años y más;0
004; Álamo (El);Mujer;Menores de 15 años;0
004; Álamo (El);Mujer;De 15 a 19 años;0
004; Álamo (El);Mujer;De 20 a 24 años;7
004; Álamo (El);Mujer;De 25 a 29 años;13
004; Álamo (El);Mujer;De 30 a 34 años;14
004; Álamo (El);Mujer;De 35 a 39 años;11
004; Álamo (El);Mujer;De 40 a 44 años;1
004; Álamo (El);Mujer;De 45 a 49 años;0
004; Álamo (El);Mujer;De 50 años y más;0
005; Alcalá de Henares;Hombre;Menores de 15 años;0
005; Alcalá de Henares;Hombre;De 15 a 19 años;19
005; Alcalá de Henares;Hombre;De 20 a 24 años;54
005; Alcalá de Henares;Hombre;De 25 a 29 años;137
005; Alcalá de Henares;Hombre;De 30 a 34 años;285
005; Alcalá de Henares;Hombre;De 35 a 39 años;253
005; Alcalá de Henares;Hombre;De 40 a 44 años;57
005; Alcalá de Henares;Hombre;De 45 a 49 años;3
005; Alcalá de Henares;Hombre;De 50 años y más;1
005; Alcalá de Henares;Mujer;Menores de 15 años;0
005; Alcalá de Henares;Mujer;De 15 a 19 años;18
005; Alcalá de Henares;Mujer;De 20 a 24 años;55
005; Alcalá de Henares;Mujer;De 25 a 29 años;125
005; Alcalá de Henares;Mujer;De 30 a 34 años;285
005; Alcalá de Henares;Mujer;De 35 a 39 años;246
005; Alcalá de Henares;Mujer;De 40 a 44 años;64
005; Alcalá de Henares;Mujer;De 45 a 49 años;7
005; Alcalá de Henares;Mujer;De 50 años y más;0
006; Alcobendas;Hombre;Menores de 15 años;0
006; Alcobendas;Hombre;De 15 a 19 años;6
006; Alcobendas;Hombre;De 20 a 24 años;28
006; Alcobendas;Hombre;De 25 a 29 años;68
006; Alcobendas;Hombre;De 30 a 34 años;163
006; Alcobendas;Hombre;De 35 a 39 años;177
006; Alcobendas;Hombre;De 40 a 44 años;51
006; Alcobendas;Hombre;De 45 a 49 años;7
006; Alcobendas;Hombre;De 50 años y más;0
006; Alcobendas;Mujer;Menores de 15 años;0
006; Alcobendas;Mujer;De 15 a 19 años;10
006; Alcobendas;Mujer;De 20 a 24 años;28
006; Alcobendas;Mujer;De 25 a 29 años;70
006; Alcobendas;Mujer;De 30 a 34 años;159
